trait_BG,token_id,trait_Torso,trait_Color,trait_Power Unit,trait_Face,trait_Apex,trait_Right Sensor,trait_Quantum Core,trait_Sense Emulator,trait_Left Sensor,trait_Hands,trait_AUX,trait_Special Edition,rarity_score
Black Graphic,6927,PBJ,34 Tauri,EMP Shields,Centurion,Core,Ongo,Ongo,Inhaler,Core,-1,Bypass,-1,164.37875806526264
Grey Day,5532,Tactical,Titan,Core,Centurion,Patrician,APS,Core,Centurion,-1,-1,-1,-1,164.2881012055776
Purple Gradient,6265,Captain,Pulsar White,Patrician,VRT,Ongo,Core,Core,Inhaler,Kouwei,-1,-1,-1,164.26873077162216
Pink Gradient,6013,Wind Breaker,Nova Blue,Kouwei,Core,Strobe,Core,Ongo,Kouwei,-1,-1,Formula-V,-1,164.21914818785416
Grey Gradient,1414,Kimono,Nova Blue,Centurion,Ongo,Trinity,-1,Core,Kouwei,APS,-1,-1,-1,164.19909823601523
Black Graphic,4063,BDVXP,Pulsar White,Centurion,Patrician,Centurion,-1,Patrician,Offender,Core,-1,Patrician,-1,164.17185100662908
Purple Gradient,7379,Wind Breaker,Cotton Candy,Patrician,Courier,Range Finder,Acoustic Array,Core,Inhaler,-1,-1,-1,-1,164.1432754041579
Orange Gradient,5322,Kimono,Neptune,Small Cell,Courier,Centurion,Core,Core,-1,APS,-1,-1,-1,164.0558111257194
Black Graphic,1758,Puff Jacket,Cotton Candy,Extended Range,Graffiti,-1,Ongo,Core,Kouwei,Kouwei,-1,Patrician,-1,164.0332432076561
Orange Gradient,3751,PBJ,Pulsar White,Kouwei,Centurion,Patrician,Ongo,Runtime Meter,Kouwei,APS,-1,-1,-1,163.90440292509734
Green Gradient,167,Tourist,Nova Blue,Centurion,VRT,Core,Core,Runtime Meter,Offender,-1,-1,-1,-1,163.88275236669247
Green Gradient,2536,Core,Pulsar White,Core,Core,Patrician,Ongo,Ongo,Inhaler,Ongo,-1,-1,-1,163.87318340708103
Black Graphic,3441,Tourist,Neptune,Kouwei,Centurion,Range Finder,Core,Centurion,Offender,APS,-1,-1,-1,163.85377405767915
Blue Gradient,582,Soldier,Pulsar White,Centurion,VRT,Centurion,Core,Patrician,-1,Centurion,-1,-1,-1,163.83779377899373
Grey Day,5766,Captain,Grape,Core,Centurion,Garsi,-1,Patrician,Kouwei,Kouwei,-1,-1,-1,163.8061146793692
Pink Gradient,6376,Kouwei,Snake,Small Cell,Field Agent,Kouwei,Acoustic Array,Core,Inhaler,-1,-1,Bypass,-1,163.6656324611718
Blue Gradient,7493,Tourist,Nova Blue,Kouwei,Patrician,Industrial Sensor,-1,Core,Inhaler,-1,-1,Kouwei,-1,163.61840832472078
Grey Day,824,Puff Jacket,Titan,Kouwei,VRT,Ongo,Acoustic Array,Core,Inhaler,APS,Boba,-1,-1,163.61036603729355
Purple Gradient,1960,Patrician,Nebula Red,Kouwei,Ongo,Transmission,Core,Ongo,Inhaler,Infrared,-1,-1,-1,163.5793309563472
Grey Day,3631,Leather Jacket,Pulsar White,Centurion,VRT,Industrial Sensor,Kouwei Vibes,Centurion,Core,Centurion,-1,-1,-1,163.57709107657055
Grey Day,2624,Wind Breaker,Snake,Core,Kouwei,Core,Rabbit,Ongo,Extended Release,Infrared,-1,Bypass,-1,163.5663051486456
Pink Gradient,6231,Wind Breaker,Grape,EMP Shields,Tri-Focal ACS,Industrial Sensor,Rabbit,Core,Ongo,-1,-1,-1,-1,163.47796135713455
Grey Gradient,3630,Ongo,Navy,Centurion,ISO,Emoji,-1,Kouwei,Inhaler,Centurion,-1,Kouwei,-1,163.47325243406993
Grey Gradient,3339,Graphic Tee,Nova Blue,Centurion,Echelon-3,Industrial Sensor,Cat,Patrician,Inhaler,Kouwei,-1,Faction,-1,163.46399605414143
Orange Gradient,2615,Graphic Tee,Navy,Core,Centurion,Trinity,APS,Runtime Meter,Sticker,Infrared,-1,-1,-1,163.43702062788643
Black Graphic,6611,Kimono,Pulsar White,Extended Range,Centurion,Emoji,Core,Kouwei,Patrician,Infrared,-1,-1,-1,163.314330096646
Grey Gradient,4248,Core,Echelon Grey,Ongo,Centurion,Kouwei,Ongo,Patrician,Sticker,Core,-1,-1,-1,163.2831698034337
Grey Gradient,1138,Wind Breaker,Navy,Patrician,Field Agent,Echelon-3,Acoustic Array,Core,V-THC,-1,-1,-1,-1,163.27640720421454
Purple Gradient,4485,Patrician,34 Tauri,Core,Kouwei,Strobe,Rabbit,Core,-1,-1,-1,Patrician,-1,163.24870743618015
Grey Day,7047,Tactical,Echelon Grey,Patrician,Kouwei,Range Finder,Core,Runtime Meter,Patrician,-1,-1,-1,-1,163.188831561922
Purple Gradient,4674,Patrician,Echelon Grey,Kouwei,Core,Industrial Sensor,Rabbit,Centurion,Patrician,Core,-1,-1,-1,163.17336154158465
Grey Gradient,4579,Captain,Cotton Candy,Centurion,Centurion,Strobe,Core,Runtime Meter,Inhaler,-1,-1,-1,-1,163.1617236796664
Black Graphic,6176,Patrician,Nebula Red,Patrician,Recon,Centurion,Ongo,Runtime Meter,Kouwei,APS,-1,Faction,-1,163.13364194705866
Grey Gradient,20,Ongo,Grape,Kouwei,Centurion,Garsi,Rabbit,Core,V-THC,-1,-1,-1,-1,163.1218304796373
Blue Gradient,6205,Graphic Tee,Neptune,Kouwei,Governor,Echelon-3,-1,Kouwei,Inhaler,Centurion,-1,-1,-1,163.09373221661448
Grey Gradient,83,Tracksuit,Grape,Kouwei,Ongo,Industrial Sensor,Ongo,Core,Inhaler,Infrared,-1,Centurion,-1,163.07596823087863
Grey Day,3454,Tracksuit,Echelon Grey,EMP Shields,Ongo,Transmission,Acoustic Array,Patrician,Inhaler,Infrared,-1,-1,-1,163.07585316362196
Purple Gradient,6395,Wind Breaker,Snake,Extended Range,Centurion,Industrial Sensor,Ongo,Core,Kouwei,Centurion,Beverage,-1,-1,163.02225644501368
Green Gradient,3360,Leather Jacket,Cotton Candy,Centurion,Core,Core,Kouwei,Ongo,Centurion,Kouwei,-1,Bypass,-1,163.01206152482447
Purple Gradient,1809,Puff Jacket,Snake,Centurion,Echelon-3,Garsi,Acoustic Array,Core,Core,Cat,-1,-1,-1,162.98609681023424
Black Graphic,4931,TUX,Snake,Centurion,Ongo,Industrial Sensor,Acoustic Array,Kouwei,Inhaler,-1,-1,Patrician,-1,162.92707687477517
Grey Day,5418,Monk,Wrath,Patrician,Centurion,-1,Kouwei,Ongo,Patrician,Centurion,-1,-1,-1,162.91852365824667
Pink Gradient,7699,Tracksuit,Navy,Kouwei,Grigori,Industrial Sensor,Acoustic Array,Kouwei,Offender,Centurion,-1,-1,-1,162.87522320639292
Black Graphic,610,Kimono,Nova Blue,Kouwei,Vandalized,Cutter,Rabbit,Centurion,Offender,Core,-1,-1,-1,162.87289397881523
Purple Gradient,2717,Centurion,Grape,Ongo,Vandalized,Garsi,Kouwei,Core,Centurion,Centurion,-1,-1,-1,162.86559539987297
Black Graphic,374,Sergeant,Echelon Grey,Core,Ongo,Range Finder,Core,Patrician,-1,-1,-1,-1,-1,162.85972580754486
Black Graphic,185,Core,Navy,Kouwei,VRT,Industrial Sensor,APS,Core,Kouwei,APS,-1,Centurion,-1,162.8581740343995
Black Graphic,5195,Patrician,Neptune,Small Cell,ISO,Industrial Sensor,Ongo,Patrician,Ongo,Core,-1,-1,-1,162.81076225711953
Black Graphic,1387,Centurion,Pulsar White,Centurion,Grigori,Emoji,Rabbit,Core,Kouwei,Core,-1,-1,-1,162.7520245936791
Purple Gradient,5795,Centurion,Snake,EMP Shields,Centurion,Industrial Sensor,Acoustic Array,Ongo,Centurion,APS,-1,Faction,-1,162.74689291345396
Pink Gradient,3299,Wind Breaker,Cotton Candy,Patrician,Governor,Industrial Sensor,Core,Centurion,Inhaler,Cat,-1,-1,-1,162.73487879718994
Blue Gradient,5846,Sergeant,34 Tauri,Kouwei,VRT,Industrial Sensor,Core,Core,Core,-1,-1,Bypass,-1,162.72768794557535
Blue Gradient,5515,Kouwei,Pulsar White,Patrician,Centurion,Ongo,-1,Core,Extended Release,Core,-1,Centurion,-1,162.72227644651292
Blue Gradient,2770,BDVXP,Titan,Patrician,VRT,Core,Centurion,Core,Inhaler,Kouwei,-1,Bypass,-1,162.6877339520116
Grey Gradient,5077,Centurion,Neptune,Kouwei,ISO,Transmission,Kouwei,Kouwei,Inhaler,-1,-1,-1,-1,162.6786569604582
Pink Gradient,2481,Super Puff,Navy,Patrician,VRT,Centurion,-1,Centurion,Kouwei,-1,-1,-1,-1,162.66712119159243
Purple Gradient,6121,Tourist,Echelon Grey,Kouwei,Ongo,Industrial Sensor,Core,Runtime Meter,Offender,Infrared,-1,Bypass,-1,162.5994992903533
Grey Day,222,Tourist,Wrath,Small Cell,Patrician,-1,Core,Kouwei,Kouwei,Core,-1,-1,-1,162.5803005223641
Orange Gradient,698,Kouwei,Titan,Kouwei,Recon,Trinity,-1,Centurion,-1,Rabbit,-1,-1,-1,162.5429910036424
Green Gradient,4361,Core,Snake,EMP Shields,Echelon-3,Echelon-3,Acoustic Array,Core,Ongo,Centurion,-1,-1,-1,162.48696423698124
Grey Gradient,2145,Tactical,Titan,Kouwei,Tri-Focal ACS,Garsi,Kouwei,Ongo,Sticker,-1,-1,-1,-1,162.48502716110974
Blue Gradient,2883,Kimono,Nebula Red,Kouwei,Ongo,Kouwei,APS,Kouwei,-1,Kouwei,-1,-1,-1,162.48096306233305
Pink Gradient,2776,Soldier,Cotton Candy,Kouwei,VRT,Emoji,Core,Core,Kouwei,Centurion,-1,-1,-1,162.4759381501635
Grey Day,5356,Kouwei,Nova Blue,Kouwei,Vandalized,Echelon-3,Acoustic Array,Runtime Meter,Extended Release,Infrared,-1,Bypass,-1,162.4684686586336
Purple Gradient,4529,Leather Jacket,Pulsar White,Small Cell,Patrician,Industrial Sensor,Ongo,Ongo,Patrician,-1,-1,-1,-1,162.45544701913732
Purple Gradient,3141,Leather Jacket,Nebula Red,Kouwei,Recon,Strobe,Cat,Runtime Meter,Kouwei,Kouwei,-1,Faction,-1,162.45274794465377
Orange Gradient,1991,Tracksuit,Cotton Candy,EMP Shields,Governor,Emoji,Kouwei,Runtime Meter,-1,Kouwei,-1,-1,-1,162.40920715493598
Orange Gradient,6628,Tactical,Cotton Candy,EMP Shields,Centurion,Emoji,Core,Ongo,Offender,Core,Beverage,-1,-1,162.35848518850744
Green Gradient,6913,Kouwei,Echelon Grey,Core,Kouwei,Trinity,Acoustic Array,Ongo,Inhaler,Infrared,-1,-1,-1,162.32810623481936
Purple Gradient,3455,Captain,Nova Blue,Kouwei,EMO-LED,-1,Core,Runtime Meter,Inhaler,Centurion,-1,-1,-1,162.31093866081264
Green Gradient,4244,Soldier,Nova Blue,Kouwei,Centurion,-1,Rabbit,Core,Kouwei,Kouwei,-1,-1,-1,162.2502267737233
Black Graphic,4484,PBJ,Wrath,Core,Grigori,Centurion,-1,Runtime Meter,-1,Infrared,-1,-1,-1,162.24934504021815
Grey Gradient,525,Kouwei,Neptune,Kouwei,Grigori,Centurion,-1,Ongo,Inhaler,Rabbit,-1,-1,-1,162.23967660412342
Grey Day,2423,Puff Jacket,34 Tauri,Core,Kouwei,Industrial Sensor,Core,Core,Inhaler,Rabbit,Beverage,-1,-1,162.230931702982
Blue Gradient,7582,Leather Jacket,34 Tauri,Ongo,Courier,Cutter,Core,Core,Inhaler,Core,-1,-1,-1,162.18726051525965
Pink Gradient,1603,Tactical,Cotton Candy,Extended Range,Tri-Focal ACS,Emoji,-1,Centurion,Inhaler,Ongo,-1,-1,-1,162.18262533067764
Blue Gradient,6012,Wind Breaker,34 Tauri,Patrician,Field Agent,Patrician,Acoustic Array,Centurion,-1,Ongo,-1,-1,-1,162.1816919591709
Orange Gradient,4972,Soldier,Echelon Grey,Extended Range,VRT,Emoji,-1,Centurion,Kouwei,-1,-1,-1,-1,162.1749710337185
Black Graphic,3248,PBJ,Navy,Core,Vandalized,Garsi,Rabbit,Ongo,Kouwei,Cat,-1,-1,-1,162.1503273642947
Black Graphic,3468,Puff Jacket,Neptune,Small Cell,Tri-Focal ACS,Centurion,Ongo,Core,Inhaler,Kouwei,-1,-1,-1,162.0762109423604
Grey Day,3472,Kimono,Navy,Patrician,Kouwei,Cutter,Ongo,Core,Offender,Cat,-1,-1,-1,162.05852449330547
Pink Gradient,145,Captain,Neptune,Centurion,Centurion,Emoji,Kouwei,Ongo,Kouwei,-1,-1,-1,-1,162.02266356466544
Blue Gradient,2371,PBJ,Pulsar White,Extended Range,Courier,Centurion,Core,Core,Extended Release,-1,-1,-1,-1,162.02264054376224
Purple Gradient,3233,Graphic Tee,Snake,EMP Shields,Ongo,Kouwei,-1,Runtime Meter,Core,-1,-1,-1,-1,161.98297116611434
Black Graphic,6,BDVXP,Pulsar White,Patrician,Tri-Focal ACS,Ongo,Core,Core,Offender,-1,-1,-1,-1,161.96693968970087
Grey Gradient,688,Puff Jacket,Nova Blue,Centurion,Tri-Focal ACS,Centurion,-1,Centurion,Extended Release,Core,-1,Bypass,-1,161.94455169250782
Grey Gradient,681,Tracksuit,Navy,Centurion,Vandalized,Kouwei,APS,Centurion,Extended Release,-1,-1,-1,-1,161.9206947347257
Black Graphic,7746,Kimono,Wrath,Kouwei,Centurion,Transmission,APS,Centurion,Kouwei,APS,-1,-1,-1,161.84839105324656
Blue Gradient,1251,Leather Jacket,Navy,Core,Vandalized,Transmission,-1,Centurion,Inhaler,Infrared,-1,Bypass,-1,161.83525490961117
Grey Gradient,2582,BDVXP,Nova Blue,Small Cell,ISO,Industrial Sensor,-1,Kouwei,Kouwei,-1,-1,Faction,-1,161.80852155813827
Grey Day,6275,Sergeant,Neptune,Kouwei,Recon,Garsi,Rabbit,Ongo,Kouwei,-1,-1,-1,-1,161.71780378013742
Green Gradient,5739,Tactical,Grape,Small Cell,VRT,Industrial Sensor,APS,Core,Patrician,Ongo,-1,-1,-1,161.69957809052963
Grey Gradient,5928,Graphic Tee,Navy,Kouwei,Grigori,Industrial Sensor,Centurion,Centurion,Ongo,-1,-1,-1,-1,161.61670782764253
Grey Gradient,21,Sergeant,Snake,Core,Field Agent,Centurion,Acoustic Array,Ongo,-1,Core,-1,Bypass,-1,161.5658327386357
Green Gradient,3646,Tracksuit,34 Tauri,Kouwei,Governor,Centurion,Acoustic Array,Kouwei,Kouwei,Ongo,-1,-1,-1,161.5244815739541
Blue Gradient,6814,PBJ,Grape,EMP Shields,Courier,Centurion,-1,Kouwei,Inhaler,Kouwei,-1,-1,-1,161.47557269468103
Orange Gradient,1569,Captain,Snake,Centurion,EMO-LED,-1,Core,Runtime Meter,Sticker,-1,-1,-1,-1,161.45728184685086
Grey Gradient,5049,Kouwei,Navy,Kouwei,ISO,Cutter,Rabbit,Core,Extended Release,-1,-1,Bypass,-1,161.42553318649803
Pink Gradient,1732,Tourist,Echelon Grey,Patrician,Echelon-3,Emoji,Kouwei,Core,Offender,-1,-1,-1,-1,161.37124351158434
Purple Gradient,3064,Monk,Nebula Red,EMP Shields,Recon,Centurion,Core,Kouwei,Offender,Core,-1,Faction,-1,161.36666557297207
Black Graphic,1585,Graphic Tee,Snake,Core,Core,Garsi,-1,Patrician,Extended Release,Core,-1,Centurion,-1,161.33365665905526
Blue Gradient,5604,Leather Jacket,Titan,Kouwei,Centurion,Industrial Sensor,Kouwei,Core,V-THC,Cat,-1,Bypass,-1,161.3211104031616
Grey Gradient,6794,Puff Jacket,Echelon Grey,Small Cell,VRT,Core,Core,Kouwei,Inhaler,Core,-1,Faction,-1,161.2545676800389
Green Gradient,2482,Monk,Navy,Core,Kouwei,Kouwei,-1,Core,Sticker,APS,-1,-1,-1,161.16918829617947
Blue Gradient,2220,Tracksuit,34 Tauri,Patrician,Recon,Centurion,-1,Kouwei,Extended Release,APS,Beverage,-1,-1,161.16432242761573
Green Gradient,753,Kouwei,34 Tauri,Small Cell,VRT,Emoji,-1,Kouwei,Inhaler,Kouwei,Boba,-1,-1,161.12502338434126
Purple Gradient,1946,Core,34 Tauri,Core,Field Agent,Emoji,-1,Kouwei,Offender,Core,Boba,-1,-1,161.09558115807795
Grey Gradient,6603,Wind Breaker,Grape,Small Cell,Recon,Strobe,-1,Runtime Meter,Patrician,Core,-1,-1,-1,161.0864452138537
Grey Gradient,1312,Centurion,Wrath,Patrician,VRT,Range Finder,Core,Centurion,Patrician,Core,-1,-1,-1,161.05506572351646
Grey Gradient,2135,BDVXP,Grape,Core,Echelon-3,Emoji,-1,Kouwei,Core,APS,-1,Bypass,-1,161.01558460596289
Pink Gradient,1929,Wind Breaker,Nebula Red,Patrician,Kouwei,Kouwei,-1,Patrician,Extended Release,Cat,-1,-1,-1,160.97764189258965
Purple Gradient,709,Graphic Tee,Wrath,Core,Courier,Centurion,Cat,Core,Kouwei,APS,-1,-1,-1,160.94413644567783
Black Graphic,1540,Leather Jacket,Pulsar White,Kouwei,Centurion,Garsi,Core,Core,Extended Release,Ongo,Boba,-1,-1,160.92490931490914
Orange Gradient,5711,Kouwei,Titan,Kouwei,Field Agent,Core,Acoustic Array,Runtime Meter,Inhaler,APS,-1,Kouwei,-1,160.86660007553522
Grey Day,193,Graphic Tee,Navy,Extended Range,Recon,Emoji,APS,Runtime Meter,Patrician,Kouwei,-1,-1,-1,160.85595854065508
Blue Gradient,1769,Graphic Tee,Titan,Small Cell,Centurion,Industrial Sensor,-1,Patrician,Inhaler,Core,Beverage,Bypass,-1,160.7660739355984
Green Gradient,5048,Graphic Tee,Cotton Candy,Centurion,Ongo,Industrial Sensor,Ongo,Patrician,Patrician,Cat,-1,-1,-1,160.7348242139957
Blue Gradient,6636,Tourist,Titan,Core,Vandalized,Emoji,-1,Patrician,Extended Release,Kouwei,-1,-1,-1,160.72635405393973
Black Graphic,4664,Monk,Nova Blue,Kouwei,Field Agent,Kouwei,Core,Kouwei,Offender,Core,-1,-1,-1,160.5827255037873
Blue Gradient,3292,Kouwei,Cotton Candy,Patrician,ISO,Transmission,Core,Kouwei,Kouwei,-1,-1,-1,-1,160.5825478678058
Green Gradient,6935,Kimono,Titan,Centurion,VRT,Industrial Sensor,Core,Kouwei,Kouwei,-1,Boba,-1,-1,160.5804336179288
Green Gradient,333,Graphic Tee,Nebula Red,Patrician,VRT,Emoji,Kouwei Vibes,Centurion,Extended Release,APS,-1,Bypass,-1,160.5755030502136
Purple Gradient,1580,Kimono,Titan,Centurion,Core,Industrial Sensor,Kouwei,Core,Offender,Centurion,-1,Patrician,-1,160.5718536440441
Green Gradient,5113,Leather Jacket,34 Tauri,Extended Range,VRT,Trinity,Centurion,Centurion,-1,Core,-1,-1,-1,160.56831945596485
Grey Gradient,5359,Leather Jacket,34 Tauri,Ongo,VRT,Core,Centurion,Core,Sticker,Core,-1,Bypass,-1,160.52037143980587
Pink Gradient,137,Sergeant,Nova Blue,Patrician,EMO-LED,-1,-1,Core,Inhaler,Core,-1,Faction,-1,160.49524051150144
Orange Gradient,3702,Patrician,Snake,Extended Range,VRT,Emoji,Centurion,Core,Ongo,-1,-1,Kouwei,-1,160.47006214138213
Purple Gradient,1502,Tactical,Pulsar White,EMP Shields,Vandalized,Industrial Sensor,Centurion,Ongo,Inhaler,Core,-1,Kouwei,-1,160.4390883391369
Grey Day,2204,Leather Jacket,Nova Blue,Core,VRT,Garsi,Kouwei Vibes,Core,Centurion,APS,-1,-1,-1,160.40583384645558
Blue Gradient,3991,Tactical,Titan,EMP Shields,Centurion,Core,-1,Core,Patrician,-1,-1,-1,-1,160.40110411997
Grey Gradient,788,Kimono,Wrath,Extended Range,VRT,Trinity,-1,Patrician,Inhaler,-1,-1,-1,-1,160.3824856002392
Grey Day,3330,Graphic Tee,34 Tauri,Patrician,Field Agent,Ongo,-1,Centurion,Kouwei,-1,-1,Formula-V,-1,160.37122009260435
Green Gradient,4878,Graphic Tee,Grape,Centurion,Centurion,Garsi,Kouwei Vibes,Core,Sticker,Kouwei,-1,Bypass,-1,160.2846793885362
Grey Day,2825,Tracksuit,Pulsar White,Ongo,Governor,Centurion,Ongo,Core,Inhaler,Kouwei,-1,-1,-1,160.26483127573906
Pink Gradient,3670,Wind Breaker,Wrath,Kouwei,Courier,Garsi,Core,Patrician,Inhaler,Cat,-1,-1,-1,160.2543438238311
Black Graphic,7186,Wind Breaker,Wrath,Core,ISO,Cutter,Core,Ongo,Inhaler,Core,-1,Kouwei,-1,160.11447813000936
Grey Day,1885,PBJ,34 Tauri,Core,Vandalized,Range Finder,-1,Core,Core,-1,-1,-1,-1,160.10243946383923
Grey Gradient,6058,Kouwei,Navy,Patrician,Recon,Industrial Sensor,Core,Core,Inhaler,Core,-1,Formula-V,-1,160.0990614837209
Green Gradient,2183,Tactical,Snake,Ongo,Governor,Centurion,Kouwei,Centurion,Inhaler,-1,-1,-1,-1,160.07129229561073
Grey Day,6837,Soldier,34 Tauri,Kouwei,Centurion,Emoji,Acoustic Array,Core,Kouwei,Core,-1,-1,-1,160.0464659993398
Grey Gradient,3728,Patrician,Snake,EMP Shields,VRT,Cutter,Ongo,Core,Centurion,-1,-1,-1,-1,160.03984464658214
Green Gradient,2116,Leather Jacket,Neptune,Centurion,VRT,Trinity,APS,Centurion,Offender,Centurion,-1,-1,-1,160.03900655986098
Grey Gradient,6556,Sergeant,Wrath,Kouwei,Centurion,Centurion,Cat,Core,Ongo,-1,-1,-1,-1,159.99602728727996
Purple Gradient,7716,BDVXP,Pulsar White,Kouwei,VRT,Kouwei,Acoustic Array,Patrician,Inhaler,Ongo,-1,-1,-1,159.99268779083354
Black Graphic,3424,Tourist,Pulsar White,Core,Graffiti,-1,Kouwei,Ongo,Kouwei,Core,-1,-1,-1,159.98690633596584
Black Graphic,584,Tourist,Neptune,Kouwei,Centurion,Industrial Sensor,-1,Centurion,Inhaler,Infrared,-1,Faction,-1,159.9828129799635
Black Graphic,1126,Core,Neptune,Core,EMO-LED,-1,Core,Centurion,Sticker,-1,-1,Formula-V,-1,159.91897054432678
Grey Gradient,1281,Captain,Nebula Red,Core,Recon,Centurion,Core,Core,Inhaler,Core,-1,-1,-1,159.87329579047218
Pink Gradient,262,Tactical,Echelon Grey,Centurion,Tri-Focal ACS,Range Finder,Core,Kouwei,-1,-1,-1,-1,-1,159.84563102669196
Grey Gradient,664,Tactical,Cotton Candy,Centurion,Vandalized,Patrician,-1,Patrician,Inhaler,APS,-1,-1,-1,159.8182020264808
Pink Gradient,79,Ongo,Wrath,Small Cell,Centurion,Trinity,-1,Core,Inhaler,-1,-1,-1,-1,159.81187625071559
Blue Gradient,2728,Wind Breaker,Snake,Kouwei,Echelon-3,Garsi,Rabbit,Ongo,Core,Centurion,-1,-1,-1,159.7357707913984
Grey Gradient,6702,PBJ,Wrath,Small Cell,Patrician,Strobe,Ongo,Centurion,Inhaler,Infrared,-1,-1,-1,159.72456719430153
Pink Gradient,2396,PBJ,Echelon Grey,Centurion,EMO-LED,-1,Kouwei Vibes,Runtime Meter,Inhaler,Centurion,-1,-1,-1,159.69971653853133
Blue Gradient,6069,Graphic Tee,Navy,Small Cell,Centurion,Industrial Sensor,-1,Core,Ongo,Kouwei,-1,Centurion,-1,159.69530593129184
Purple Gradient,4643,Kouwei,Navy,Kouwei,Kouwei,Centurion,Rabbit,Ongo,-1,Core,Beverage,-1,-1,159.69315684863608
Grey Gradient,7103,Wind Breaker,34 Tauri,Kouwei,Governor,Ongo,Acoustic Array,Core,Offender,Kouwei,-1,-1,-1,159.6419656447007
Grey Day,4341,Kimono,Titan,Kouwei,Patrician,Range Finder,Core,Centurion,Sticker,Core,-1,-1,-1,159.58401777222792
Grey Day,4355,Centurion,Cotton Candy,Ongo,Centurion,Trinity,Core,Core,Extended Release,Core,-1,-1,-1,159.50672562640673
Black Graphic,5024,Tactical,Cotton Candy,Ongo,VRT,Centurion,Centurion,Core,Kouwei,Cat,-1,Kouwei,-1,159.42112434288805
Grey Day,6169,Tracksuit,Neptune,Kouwei,Centurion,Range Finder,Ongo,Runtime Meter,Ongo,-1,-1,Patrician,-1,159.38767307763183
Grey Gradient,770,Tactical,Echelon Grey,Core,VRT,Centurion,Core,Runtime Meter,Inhaler,Infrared,-1,Formula-V,-1,159.34428405629916
Purple Gradient,6736,Kouwei,Navy,EMP Shields,Core,Transmission,Kouwei,Centurion,Inhaler,Infrared,-1,-1,-1,159.30246931542632
Blue Gradient,7574,Ongo,Navy,Patrician,Recon,Cutter,APS,Core,Offender,Infrared,-1,-1,-1,159.27914122915573
Grey Gradient,2069,BDVXP,Navy,Patrician,Centurion,Patrician,-1,Patrician,Sticker,Core,-1,-1,-1,159.2653720633585
Purple Gradient,4107,PBJ,Echelon Grey,Kouwei,Ongo,-1,Core,Core,Kouwei,-1,-1,Centurion,-1,159.25580416293255
Black Graphic,4532,Leather Jacket,Navy,Small Cell,Graffiti,-1,Core,Core,Patrician,Centurion,-1,-1,-1,159.22105115800963
Black Graphic,3225,Tactical,Grape,Core,Recon,Garsi,Rabbit,Centurion,Inhaler,Cat,-1,Kouwei,-1,159.1197793032719
Green Gradient,2389,Tracksuit,Pulsar White,EMP Shields,Vandalized,Core,Acoustic Array,Ongo,Offender,Core,-1,-1,-1,159.05223571587825
Orange Gradient,6602,BDVXP,Wrath,Centurion,Patrician,Echelon-3,Rabbit,Core,-1,Ongo,-1,-1,-1,159.03550677768547
Black Graphic,259,Captain,Titan,Core,Recon,Industrial Sensor,Core,Core,-1,Kouwei,-1,-1,-1,159.0186905330344
Orange Gradient,7581,Monk,Wrath,Kouwei,VRT,Centurion,-1,Kouwei,Core,-1,-1,Patrician,-1,158.97823617512313
Grey Day,4667,PBJ,Wrath,Patrician,Centurion,Kouwei,Kouwei,Core,Ongo,Core,-1,-1,-1,158.9771836639281
Grey Day,519,Graphic Tee,Snake,Ongo,Kouwei,Echelon-3,Core,Core,Sticker,Centurion,-1,Kouwei,-1,158.94414694729494
Purple Gradient,6719,Graphic Tee,Snake,Patrician,Patrician,Core,APS,Runtime Meter,Inhaler,Ongo,-1,-1,-1,158.94174983744472
Green Gradient,5269,Puff Jacket,Cotton Candy,Ongo,VRT,Industrial Sensor,-1,Ongo,-1,Core,-1,Centurion,-1,158.89702759835785
Blue Gradient,1158,Leather Jacket,Neptune,EMP Shields,Tri-Focal ACS,Ongo,Core,Ongo,Kouwei,Kouwei,-1,-1,-1,158.79288344481947
Grey Gradient,6316,Tactical,Neptune,Small Cell,Kouwei,Strobe,-1,Runtime Meter,Core,Cat,-1,-1,-1,158.7624753002251
Purple Gradient,3025,Leather Jacket,Wrath,Centurion,Grigori,Strobe,Core,Runtime Meter,Offender,Core,-1,-1,-1,158.7312357401547
Pink Gradient,3332,Core,Echelon Grey,Centurion,Echelon-3,Centurion,Centurion,Patrician,Centurion,Infrared,-1,-1,-1,158.7196180221406
Black Graphic,230,Graphic Tee,Titan,Kouwei,Grigori,Centurion,Centurion,Core,Extended Release,-1,-1,-1,-1,158.71906328449398
Orange Gradient,3813,Monk,Snake,Ongo,Centurion,Garsi,Cat,Runtime Meter,Inhaler,Centurion,-1,-1,-1,158.70828885823653
Pink Gradient,7038,PBJ,Cotton Candy,Kouwei,Governor,Emoji,-1,Core,Inhaler,Centurion,-1,-1,-1,158.68342104076785
Orange Gradient,1748,Kimono,Titan,Kouwei,Core,Centurion,Cat,Runtime Meter,Extended Release,Rabbit,-1,-1,-1,158.65539906266014
Green Gradient,1577,Kouwei,Grape,Kouwei,Grigori,Centurion,Core,Core,Extended Release,Centurion,-1,-1,-1,158.6551841627554
Blue Gradient,311,Sergeant,Snake,Extended Range,Field Agent,Industrial Sensor,-1,Kouwei,Inhaler,Ongo,-1,-1,-1,158.65107876990885
Purple Gradient,6051,Leather Jacket,Grape,Centurion,Centurion,Strobe,Ongo,Patrician,-1,-1,-1,Formula-V,-1,158.63071589368246
